#Format 0
#Firmware 0.2.3-0_2023-09-13T15:54:09Z
#Logger Serial Number: 10001
#CO2 Sensor Serial Numbers: 0 65776F073B89; 1 6B0467073BD4; 2 66E467073B2E; 3 A3E467073B96; 4 5CE467073BD1; 5 94E467073B57
sec_of_file, CO2_ppm_0, temp_0, RH_0, CO2_ppm_1, temp_1, RH_1, CO2_ppm_2, temp_2, RH_2, CO2_ppm_3, temp_3, RH_3, CO2_ppm_4, temp_4, RH_4, CO2_ppm_5, temp_5, RH_5, year, month, date, hour, min, sec, lat, lon, HDOP, satellites, batt_voltage
136.45,780,-0.83,100.00,981,0.05,100.00,613,-0.89,100.00,1058,0.11,100.00,599,-0.72,100.00,719,-0.12,100.00,2000,1,1,0,2,26,,,,,12.02,
141.45,782,-0.81,100.00,982,0.02,100.00,614,-0.89,100.00,1059,0.10,100.00,598,-0.73,100.00,719,-0.13,100.00,2000,1,1,0,2,31,,,,,12.09,
146.45,782,-0.84,100.00,984,0.02,100.00,614,-0.90,100.00,1058,0.11,100.00,598,-0.72,100.00,719,-0.12,100.00,2000,1,1,0,2,36,,,,,12.17,
151.45,783,-0.85,100.00,984,0.03,100.00,614,-0.92,100.00,1058,0.11,100.00,597,-0.74,100.00,720,-0.14,100.00,2000,1,1,0,2,41,,,,,12.54,
156.45,784,-0.84,100.00,984,0.03,100.00,614,-0.88,100.00,1058,0.11,100.00,597,-0.72,100.00,719,-0.11,100.00,2000,1,1,0,2,46,,,,,12.28,
161.45,785,-0.84,100.00,984,0.02,100.00,614,-0.89,100.00,1059,0.10,100.00,597,-0.71,100.00,719,-0.09,100.00,2000,1,1,0,2,51,,,,,12.36,
166.45,785,-0.82,100.00,986,0.04,100.00,614,-0.89,100.00,1059,0.12,100.00,597,-0.73,100.00,720,-0.11,100.00,2000,1,1,0,2,56,,,,,12.11,
171.45,786,-0.84,100.00,986,0.06,100.00,615,-0.88,100.00,1059,0.13,100.00,596,-0.71,100.00,720,-0.10,100.00,2000,1,1,0,3,1,,,,,12.15,
176.45,787,-0.84,100.00,986,0.06,100.00,614,-0.88,100.00,1058,0.15,100.00,595,-0.70,100.00,720,-0.07,100.00,2000,1,1,0,3,6,,,,,12.55,
181.45,787,-0.82,100.00,986,0.07,100.00,614,-0.89,100.00,1057,0.16,100.00,595,-0.71,100.00,721,-0.09,100.00,2000,1,1,0,3,11,,,,,12.14,
186.45,788,-0.84,100.00,986,0.07,100.00,615,-0.88,100.00,1056,0.17,100.00,594,-0.69,100.00,721,-0.06,100.00,2000,1,1,0,3,16,,,,,12.09,
191.45,789,-0.81,100.00,985,0.08,100.00,614,-0.88,100.00,1056,0.20,100.00,595,-0.69,100.00,721,-0.06,100.00,2000,1,1,0,3,21,,,,,12.05,
196.45,790,-0.81,100.00,985,0.08,100.00,614,-0.87,100.00,1055,0.18,100.00,595,-0.68,100.00,720,-0.06,100.00,2000,1,1,0,3,26,,,,,12.03,
201.69,795,-0.80,100.00,985,0.10,100.00,614,-0.86,100.00,1055,0.20,100.00,594,-0.67,100.00,721,-0.03,100.00,2000,1,1,0,3,31,,,,,12.47,
206.69,796,-0.82,100.00,985,0.11,100.00,614,-0.85,100.00,1055,0.21,100.00,593,-0.67,100.00,722,-0.04,100.00,2000,1,1,0,3,36,,,,,12.43,
211.69,799,-0.81,100.00,985,0.11,100.00,613,-0.85,100.00,1055,0.21,100.00,592,-0.65,100.00,722,-0.02,100.00,2000,1,1,0,3,41,,,,,12.38,
216.69,801,-0.79,100.00,985,0.14,100.00,613,-0.84,100.00,1056,0.24,100.00,592,-0.64,100.00,722,-0.02,100.00,2000,1,1,0,3,46,,,,,12.17,
221.69,801,-0.77,100.00,986,0.17,100.00,614,-0.83,100.00,1056,0.23,100.00,591,-0.62,100.00,722,0.00,100.00,2000,1,1,0,3,51,,,,,12.39,
226.69,801,-0.76,100.00,985,0.17,100.00,614,-0.82,100.00,1056,0.27,100.00,591,-0.60,100.00,722,0.02,100.00,2000,1,1,0,3,56,,,,,12.26,
231.69,801,-0.77,100.00,986,0.17,100.00,614,-0.80,100.00,1056,0.29,100.00,591,-0.61,100.00,722,0.03,100.00,2000,1,1,0,4,1,,,,,12.57,
236.69,801,-0.76,100.00,986,0.18,100.00,614,-0.82,100.00,1056,0.29,100.00,590,-0.61,100.00,722,0.05,100.00,2000,1,1,0,4,6,,,,,12.12,
241.69,801,-0.74,100.00,986,0.19,100.00,614,-0.79,100.00,1053,0.31,100.00,591,-0.58,100.00,722,0.05,100.00,2000,1,1,0,4,11,,,,,12.57,
246.69,801,-0.76,100.00,987,0.21,100.00,614,-0.79,100.00,1053,0.31,100.00,590,-0.56,100.00,722,0.05,100.00,2000,1,1,0,4,16,,,,,12.57,
251.69,802,-0.73,100.00,987,0.23,100.00,615,-0.78,100.00,1053,0.32,100.00,590,-0.55,100.00,722,0.07,100.00,2000,1,1,0,4,21,,,,,12.16,
256.69,801,-0.72,100.00,987,0.24,100.00,615,-0.76,100.00,1052,0.34,100.00,590,-0.56,100.00,722,0.10,100.00,2000,1,1,0,4,26,,,,,12.43,
261.69,801,-0.72,100.00,988,0.25,100.00,615,-0.76,100.00,1051,0.34,100.00,589,-0.55,100.00,722,0.09,100.00,2000,1,1,0,4,31,,,,,12.51,
266.69,802,-0.71,100.00,988,0.25,100.00,615,-0.76,100.00,1050,0.38,100.00,589,-0.52,100.00,722,0.13,100.00,2000,1,1,0,4,36,,,,,12.39,
271.69,804,-0.70,100.00,988,0.27,100.00,615,-0.77,100.00,1048,0.38,100.00,589,-0.51,100.00,722,0.11,100.00,2000,1,1,0,4,41,,,,,12.38,
276.69,804,-0.69,100.00,988,0.29,100.00,615,-0.74,100.00,1048,0.38,100.00,588,-0.50,100.00,722,0.15,100.00,2000,1,1,0,4,46,,,,,12.19,
281.69,805,-0.69,100.00,987,0.30,100.00,614,-0.72,100.00,1047,0.40,100.00,588,-0.49,100.00,722,0.17,100.00,2000,1,1,0,4,51,,,,,12.22,
286.69,805,-0.68,100.00,987,0.34,100.00,616,-0.73,100.00,1047,0.41,100.00,587,-0.49,100.00,722,0.18,100.00,2000,1,1,0,4,56,,,,,12.44,
291.69,805,-0.68,100.00,987,0.34,100.00,615,-0.69,100.00,1048,0.44,100.00,587,-0.46,100.00,722,0.18,100.00,2000,1,1,0,5,1,,,,,12.18,
296.69,806,-0.67,100.00,988,0.33,100.00,615,-0.68,100.00,1048,0.44,100.00,587,-0.44,100.00,721,0.20,100.00,2000,1,1,0,5,6,,,,,12.58,
301.69,806,-0.63,100.00,987,0.35,100.00,615,-0.68,100.00,1047,0.44,100.00,587,-0.44,100.00,721,0.21,100.00,2000,1,1,0,5,11,,,,,12.11,
306.69,807,-0.61,100.00,987,0.36,100.00,615,-0.68,100.00,1047,0.45,100.00,586,-0.44,100.00,721,0.22,100.00,2000,1,1,0,5,16,,,,,12.23,
311.69,808,-0.63,100.00,987,0.36,100.00,615,-0.68,100.00,1048,0.47,100.00,586,-0.41,100.00,721,0.23,100.00,2000,1,1,0,5,21,,,,,12.54,
316.69,810,-0.62,100.00,987,0.39,100.00,616,-0.68,100.00,1048,0.48,100.00,586,-0.40,100.00,721,0.23,100.00,2000,1,1,0,5,26,,,,,12.20,
321.69,811,-0.61,100.00,987,0.37,100.00,616,-0.67,100.00,1047,0.49,100.00,585,-0.36,100.00,722,0.24,100.00,2000,1,1,0,5,31,,,,,12.56,
326.69,811,-0.59,100.00,988,0.42,100.00,616,-0.65,100.00,1047,0.51,100.00,585,-0.38,100.00,722,0.26,100.00,2000,1,1,0,5,36,,,,,12.18,
331.69,810,-0.58,100.00,987,0.43,100.00,616,-0.65,100.00,1048,0.54,100.00,585,-0.37,100.00,723,0.29,100.00,2000,1,1,0,5,41,,,,,12.56,
336.69,810,-0.60,100.00,987,0.43,100.00,616,-0.63,100.00,1047,0.52,100.00,584,-0.35,100.00,723,0.29,100.00,2000,1,1,0,5,46,,,,,12.44,
341.69,811,-0.59,100.00,988,0.45,100.00,616,-0.64,100.00,1047,0.57,100.00,584,-0.35,100.00,723,0.30,100.00,2000,1,1,0,5,51,,,,,12.37,
346.69,811,-0.57,100.00,987,0.48,100.00,617,-0.61,100.00,1047,0.56,100.00,583,-0.34,100.00,722,0.31,100.00,2000,1,1,0,5,56,,,,,12.32,
351.69,811,-0.55,100.00,988,0.48,100.00,619,-0.61,100.00,1046,0.56,100.00,583,-0.32,100.00,723,0.32,100.00,2000,1,1,0,6,1,,,,,12.15,
356.69,813,-0.53,100.00,988,0.49,100.00,620,-0.61,100.00,1046,0.57,100.00,583,-0.31,100.00,723,0.34,100.00,2000,1,1,0,6,6,,,,,12.55,
361.69,812,-0.51,100.00,988,0.52,100.00,619,-0.58,100.00,1046,0.59,100.00,584,-0.32,100.00,723,0.35,100.00,2000,1,1,0,6,11,,,,,12.42,
366.69,812,-0.52,100.00,988,0.53,100.00,620,-0.58,100.00,1046,0.60,100.00,584,-0.29,100.00,723,0.36,100.00,2000,1,1,0,6,16,,,,,12.05,
371.69,812,-0.52,100.00,988,0.53,100.00,620,-0.57,100.00,1045,0.62,100.00,584,-0.29,100.00,724,0.39,100.00,2000,1,1,0,6,21,,,,,12.16,
376.69,813,-0.51,100.00,988,0.53,100.00,621,-0.57,100.00,1046,0.62,100.00,584,-0.28,100.00,724,0.37,100.00,2000,1,1,0,6,26,,,,,12.17,
381.69,814,-0.50,100.00,990,0.55,100.00,621,-0.56,100.00,1045,0.65,100.00,584,-0.26,100.00,724,0.38,100.00,2000,1,1,0,6,31,,,,,12.34,
386.69,814,-0.49,100.00,990,0.55,100.00,621,-0.53,100.00,1044,0.65,100.00,584,-0.24,100.00,725,0.40,100.00,2000,1,1,0,6,36,,,,,12.56,
391.94,815,-0.49,100.00,990,0.57,100.00,621,-0.55,100.00,1044,0.65,100.00,584,-0.25,100.00,725,0.42,100.00,2000,1,1,0,6,41,,,,,12.47,
396.94,816,-0.47,100.00,991,0.58,100.00,621,-0.53,100.00,1044,0.68,100.00,584,-0.23,100.00,725,0.41,100.00,2000,1,1,0,6,46,,,,,12.20,
401.94,816,-0.46,100.00,992,0.60,100.00,623,-0.51,100.00,1043,0.66,100.00,584,-0.24,100.00,725,0.45,100.00,2000,1,1,0,6,51,,,,,12.50,
406.94,815,-0.46,100.00,992,0.62,100.00,623,-0.51,100.00,1043,0.69,100.00,584,-0.22,100.00,725,0.45,100.00,2000,1,1,0,6,56,,,,,12.58,
411.94,816,-0.45,100.00,992,0.63,100.00,625,-0.50,100.00,1043,0.70,100.00,583,-0.21,100.00,725,0.44,100.00,2000,1,1,0,7,1,,,,,12.23,
416.94,817,-0.45,100.00,992,0.63,100.00,625,-0.49,100.00,1044,0.72,100.00,583,-0.21,100.00,725,0.46,100.00,2000,1,1,0,7,6,,,,,12.16,
421.94,820,-0.43,100.00,991,0.64,100.00,625,-0.47,100.00,1043,0.74,100.00,582,-0.18,100.00,725,0.48,100.00,2000,1,1,0,7,11,,,,,12.18,
426.94,819,-0.42,100.00,991,0.65,100.00,625,-0.47,100.00,1043,0.72,100.00,582,-0.18,100.00,725,0.47,100.00,2000,1,1,0,7,16,,,,,12.56,
431.94,820,-0.43,100.00,990,0.68,100.00,626,-0.48,100.00,1043,0.72,100.00,582,-0.16,100.00,725,0.49,100.00,2000,1,1,0,7,21,,,,,12.31,
436.94,825,-0.42,100.00,991,0.67,100.00,626,-0.47,100.00,1043,0.75,100.00,582,-0.16,100.00,725,0.49,100.00,2000,1,1,0,7,26,,,,,12.31,
441.94,825,-0.42,100.00,990,0.66,100.00,626,-0.44,100.00,1043,0.75,100.00,580,-0.14,100.00,726,0.51,100.00,2000,1,1,0,7,31,,,,,12.41,
446.95,825,-0.40,100.00,990,0.71,100.00,626,-0.46,100.00,1043,0.77,100.00,579,-0.16,100.00,726,0.52,100.00,2000,1,1,0,7,36,,,,,12.46,
451.95,825,-0.40,100.00,990,0.69,100.00,625,-0.44,100.00,1044,0.76,100.00,579,-0.12,100.00,726,0.52,100.00,2000,1,1,0,7,41,,,,,12.22,
456.95,825,-0.38,100.00,990,0.72,100.00,626,-0.46,100.00,1044,0.79,100.00,578,-0.10,100.00,727,0.52,100.00,2000,1,1,0,7,46,,,,,12.57,
461.35,825,-0.37,100.00,990,0.72,100.00,625,-0.43,100.00,1047,0.79,100.00,578,-0.11,100.00,727,0.53,100.00,2000,1,1,0,7,50,,,,,12.17,
466.94,825,-0.38,100.00,990,0.72,100.00,625,-0.44,100.00,1048,0.79,100.00,578,-0.12,100.00,728,0.54,100.00,2000,1,1,0,7,56,,,,,12.57,
471.94,825,-0.38,100.00,991,0.73,100.00,626,-0.45,100.00,1048,0.81,100.00,577,-0.09,100.00,728,0.54,100.00,2000,1,1,0,8,1,,,,,12.59,
476.94,825,-0.37,100.00,992,0.75,100.00,625,-0.42,100.00,1050,0.81,100.00,578,-0.10,100.00,728,0.56,100.00,2000,1,1,0,8,6,,,,,12.43,
481.94,824,-0.37,100.00,992,0.76,100.00,625,-0.41,100.00,1049,0.81,100.00,577,-0.09,100.00,728,0.56,100.00,2000,1,1,0,8,11,,,,,12.47,
486.94,824,-0.38,100.00,994,0.76,100.00,625,-0.38,100.00,1049,0.82,100.00,577,-0.09,100.00,729,0.59,100.00,2000,1,1,0,8,16,,,,,12.33,
491.94,824,-0.33,100.00,994,0.78,100.00,626,-0.41,100.00,1049,0.82,100.00,577,-0.09,100.00,729,0.57,100.00,2000,1,1,0,8,21,,,,,12.20,
496.94,824,-0.36,100.00,993,0.78,100.00,626,-0.40,100.00,1049,0.86,100.00,577,-0.05,100.00,729,0.57,100.00,2000,1,1,0,8,26,,,,,12.55,
501.94,824,-0.35,100.00,993,0.80,100.00,627,-0.41,100.00,1048,0.82,100.00,576,-0.04,100.00,729,0.58,100.00,2000,1,1,0,8,31,,,,,12.48,
506.94,824,-0.33,100.00,993,0.80,100.00,627,-0.38,100.00,1048,0.84,100.00,576,-0.04,100.00,729,0.60,100.00,2000,1,1,0,8,36,,,,,12.60,
511.94,824,-0.33,100.00,993,0.81,100.00,627,-0.38,100.00,1048,0.84,100.00,576,-0.06,100.00,730,0.61,100.00,2000,1,1,0,8,41,,,,,12.47,
516.95,824,-0.33,100.00,993,0.80,100.00,628,-0.38,100.00,1046,0.85,100.00,576,-0.05,100.00,730,0.64,100.00,2000,1,1,0,8,46,,,,,12.32,
521.36,823,-0.30,100.00,,,,628,-0.37,100.00,,,,576,-0.01,100.00,731,0.62,100.00,2000,1,1,0,8,50,,,,,12.14,
526.94,824,-0.32,100.00,993,0.85,100.00,628,-0.37,100.00,1047,0.89,100.00,577,-0.03,100.00,731,0.63,100.00,2000,1,1,0,8,56,,,,,12.60,
531.94,824,-0.32,100.00,993,0.82,100.00,628,-0.38,100.00,1047,0.88,100.00,577,-0.01,100.00,731,0.64,100.00,2000,1,1,0,9,1,,,,,12.56,
536.94,823,-0.30,100.00,993,0.83,100.00,629,-0.36,100.00,1048,0.89,100.00,577,-0.02,100.00,732,0.63,100.00,2000,1,1,0,9,6,,,,,12.25,
541.94,823,-0.30,100.00,993,0.83,100.00,629,-0.36,100.00,1048,0.88,100.00,577,-0.01,100.00,731,0.67,100.00,2000,1,1,0,9,11,,,,,12.39,
546.35,823,-0.30,100.00,994,0.86,100.00,,,,1048,0.91,100.00,577,-0.01,100.00,732,0.63,100.00,2000,1,1,0,9,15,,,,,12.48,
551.45,823,-0.28,100.00,994,0.86,100.00,629,-0.33,100.00,1048,0.91,100.00,578,0.02,100.00,732,0.66,100.00,2000,1,1,0,9,20,,,,,12.13,
556.45,823,-0.32,100.00,994,0.87,100.00,629,-0.36,100.00,1048,0.89,100.00,578,0.01,100.00,732,0.66,100.00,2000,1,1,0,9,25,,,,,12.56,
561.45,823,-0.28,100.00,994,0.89,100.00,630,-0.33,100.00,1048,0.93,100.00,579,0.01,100.00,732,0.68,100.00,2000,1,1,0,9,30,,,,,12.23,
566.45,823,-0.28,100.00,993,0.88,100.00,630,-0.31,100.00,1048,0.91,100.00,579,0.01,100.00,733,0.67,100.00,2000,1,1,0,9,35,,,,,12.54,
571.45,824,-0.29,100.00,993,0.88,100.00,630,-0.32,100.00,1048,0.92,100.00,580,0.03,100.00,733,0.67,100.00,2000,1,1,0,9,40,,,,,12.36,
576.45,823,-0.29,100.00,993,0.88,100.00,630,-0.31,100.00,1048,0.92,100.00,580,0.04,100.00,733,0.67,100.00,2000,1,1,0,9,45,,,,,12.16,
581.45,824,-0.28,100.00,994,0.90,100.00,630,-0.32,100.00,1049,0.93,100.00,580,0.05,100.00,733,0.70,100.00,2000,1,1,0,9,50,,,,,12.35,
586.45,824,-0.24,100.00,993,0.91,100.00,631,-0.31,100.00,1049,0.94,100.00,580,0.05,100.00,733,0.71,100.00,2000,1,1,0,9,55,,,,,12.61,
591.45,824,-0.27,100.00,993,0.90,100.00,632,-0.31,100.00,1049,0.94,100.00,580,0.05,100.00,733,0.69,100.00,2000,1,1,0,10,0,,,,,12.29,
596.45,824,-0.27,100.00,993,0.92,100.00,631,-0.31,100.00,1050,0.96,100.00,580,0.06,100.00,733,0.73,100.00,2000,1,1,0,10,5,,,,,12.17,
601.45,824,-0.26,100.00,993,0.93,100.00,631,-0.29,100.00,1051,0.95,100.00,580,0.07,100.00,733,0.73,100.00,2000,1,1,0,10,10,,,,,12.29,
606.45,824,-0.25,100.00,993,0.93,100.00,632,-0.29,100.00,1051,0.97,100.00,580,0.08,100.00,733,0.72,100.00,2000,1,1,0,10,15,,,,,12.32,
611.45,824,-0.25,100.00,993,0.94,100.00,632,-0.30,100.00,1051,0.96,100.00,581,0.09,100.00,733,0.75,100.00,2000,1,1,0,10,20,,,,,12.99,
616.45,824,-0.27,100.00,993,0.93,100.00,631,-0.29,100.00,1051,0.96,100.00,581,0.09,100.00,733,0.74,100.00,2000,1,1,0,10,25,,,,,12.37,
621.45,824,-0.24,100.00,992,0.95,100.00,631,-0.28,100.00,1051,0.97,100.00,582,0.09,100.00,733,0.74,100.00,2000,1,1,0,10,30,,,,,12.29,
626.45,824,-0.26,100.00,992,0.95,100.00,631,-0.26,100.00,1052,0.97,100.00,581,0.10,100.00,733,0.73,100.00,2000,1,1,0,10,35,,,,,12.57,
631.45,824,-0.24,100.00,993,0.96,100.00,631,-0.28,100.00,1052,0.98,100.00,581,0.09,100.00,734,0.73,100.00,2000,1,1,0,10,40,,,,,12.32,
636.45,825,-0.23,100.00,993,0.97,100.00,631,-0.28,100.00,1051,0.99,100.00,581,0.11,100.00,734,0.75,100.00,2000,1,1,0,10,45,,,,,12.19,
641.45,824,-0.25,100.00,993,0.96,100.00,630,-0.28,100.00,1051,0.98,100.00,582,0.12,100.00,734,0.76,100.00,2000,1,1,0,10,50,,,,,12.56,
646.45,823,-0.24,100.00,994,0.97,100.00,630,-0.27,100.00,1052,0.98,100.00,581,0.11,100.00,735,0.76,100.00,2000,1,1,0,10,55,,,,,12.26,
651.45,823,-0.24,100.00,993,0.99,100.00,631,-0.29,100.00,1053,1.00,100.00,581,0.10,100.00,734,0.77,100.00,2000,1,1,0,11,0,,,,,12.28,
656.45,824,-0.24,100.00,993,0.98,100.00,631,-0.25,100.00,1054,0.97,100.00,581,0.14,100.00,735,0.76,100.00,2000,1,1,0,11,5,,,,,12.21,
661.45,824,-0.22,100.00,993,0.99,100.00,631,-0.26,100.00,1055,1.00,100.00,581,0.13,100.00,734,0.77,100.00,2000,1,1,0,11,10,,,,,12.38,
666.45,824,-0.24,100.00,991,1.00,100.00,631,-0.25,100.00,1055,1.01,100.00,581,0.12,100.00,734,0.77,100.00,2000,1,1,0,11,15,,,,,12.57,
671.45,825,-0.23,100.00,992,1.00,100.00,631,-0.24,100.00,1055,1.02,100.00,581,0.13,100.00,734,0.76,100.00,2000,1,1,0,11,20,,,,,12.54,
676.45,825,-0.21,100.00,992,0.99,100.00,631,-0.25,100.00,1054,1.04,100.00,581,0.14,100.00,734,0.80,100.00,2000,1,1,0,11,25,,,,,12.21,
681.45,825,-0.23,100.00,991,1.01,100.00,631,-0.25,100.00,1054,1.00,100.00,581,0.13,100.00,734,0.79,100.00,2000,1,1,0,11,30,,,,,12.33,
686.45,825,-0.22,100.00,990,1.03,100.00,631,-0.24,100.00,1055,1.01,100.00,581,0.14,100.00,734,0.80,100.00,2000,1,1,0,11,35,,,,,12.22,
691.45,825,-0.22,100.00,990,1.01,100.00,631,-0.24,100.00,1055,1.03,100.00,581,0.15,100.00,734,0.80,100.00,2000,1,1,0,11,40,,,,,12.21,
696.45,825,-0.21,100.00,990,1.02,100.00,630,-0.23,100.00,1055,1.00,100.00,582,0.15,100.00,734,0.81,100.00,2000,1,1,0,11,45,,,,,12.59,
701.45,825,-0.21,100.00,989,1.01,100.00,630,-0.22,100.00,1052,1.01,100.00,582,0.17,100.00,734,0.80,100.00,2000,1,1,0,11,50,,,,,12.14,
706.45,825,-0.21,100.00,989,1.03,100.00,630,-0.21,100.00,1053,1.01,100.00,583,0.17,100.00,734,0.81,100.00,2000,1,1,0,11,55,,,,,12.16,
711.45,826,-0.18,100.00,990,1.04,100.00,629,-0.23,100.00,1054,1.01,100.00,583,0.15,100.00,734,0.81,100.00,2000,1,1,0,12,0,,,,,12.23,
716.45,826,-0.19,100.00,991,1.03,100.00,629,-0.21,100.00,1054,1.04,100.00,583,0.17,100.00,734,0.82,100.00,2000,1,1,0,12,5,,,,,12.50,
721.45,826,-0.20,100.00,990,1.05,100.00,629,-0.22,100.00,1054,1.03,100.00,583,0.18,100.00,734,0.83,100.00,2000,1,1,0,12,10,,,,,12.55,
726.45,826,-0.20,100.00,991,1.04,100.00,629,-0.22,100.00,1053,1.05,100.00,583,0.18,100.00,735,0.83,100.00,2000,1,1,0,12,15,,,,,12.59,
731.45,826,-0.17,100.00,991,1.04,100.00,629,-0.21,100.00,1053,1.03,100.00,584,0.17,100.00,735,0.81,100.00,2000,1,1,0,12,20,,,,,12.22,
736.45,827,-0.17,100.00,991,1.07,100.00,629,-0.22,100.00,1053,1.04,100.00,584,0.18,100.00,735,0.84,100.00,2000,1,1,0,12,25,,,,,12.46,
741.45,826,-0.18,100.00,991,1.05,100.00,629,-0.21,100.00,1054,1.07,100.00,583,0.17,100.00,734,0.83,100.00,2000,1,1,0,12,30,,,,,12.51,
