#Format 0
#Firmware 0.2.3-0_2023-09-13T15:54:09Z
#Logger Serial Number: 10001
#CO2 Sensor Serial Numbers: 0 65776F073B89; 1 6B0467073BD4; 2 66E467073B2E; 3 A3E467073B96; 4 5CE467073BD1; 5 94E467073B57
sec_of_file, CO2_ppm_0, temp_0, RH_0, CO2_ppm_1, temp_1, RH_1, CO2_ppm_2, temp_2, RH_2, CO2_ppm_3, temp_3, RH_3, CO2_ppm_4, temp_4, RH_4, CO2_ppm_5, temp_5, RH_5, year, month, date, hour, min, sec, lat, lon, HDOP, satellites, batt_voltage
1.35,0,0.54,99.76,0,1.35,99.55,591,0.56,99.76,1051,1.13,99.59,590,0.64,99.72,671,1.14,99.59,2000,1,1,0,0,11,,,,,12.06,
6.45,251,0.49,100.00,0,1.27,100.00,605,0.60,100.00,1090,1.21,100.00,598,0.70,100.00,700,1.22,100.00,2000,1,1,0,0,16,,,,,12.57,
11.45,441,0.43,100.00,389,1.19,100.00,615,0.53,100.00,1118,1.18,100.00,601,0.65,100.00,708,1.12,100.00,2000,1,1,0,0,21,,,,,12.25,
16.45,569,0.37,100.00,607,1.11,100.00,612,0.44,100.00,1111,1.09,100.00,621,0.52,100.00,712,1.03,100.00,2000,1,1,0,0,26,,,,,12.57,
21.45,634,0.28,100.00,737,1.00,100.00,612,0.32,100.00,1099,1.00,100.00,618,0.42,100.00,713,0.94,100.00,2000,1,1,0,0,31,,,,,12.07,
26.45,671,0.16,100.00,803,0.94,100.00,617,0.19,100.00,1092,0.92,100.00,617,0.29,100.00,709,0.83,100.00,2000,1,1,0,0,36,,,,,12.06,
31.45,696,0.07,100.00,846,0.85,100.00,616,0.10,100.00,1086,0.83,100.00,617,0.22,100.00,711,0.73,100.00,2000,1,1,0,0,41,,,,,12.16,
36.45,728,-0.09,100.00,869,0.75,100.00,617,-0.01,100.00,1078,0.68,100.00,612,0.10,100.00,712,0.63,100.00,2000,1,1,0,0,46,,,,,12.57,
41.45,736,-0.16,100.00,924,0.60,100.00,616,-0.12,100.00,1076,0.60,100.00,612,0.03,100.00,713,0.53,100.00,2000,1,1,0,0,51,,,,,12.26,
46.45,745,-0.24,100.00,934,0.51,100.00,616,-0.18,100.00,1077,0.53,100.00,611,-0.08,100.00,714,0.46,100.00,2000,1,1,0,0,56,,,,,12.16,
51.45,754,-0.31,100.00,947,0.46,100.00,616,-0.27,100.00,1077,0.47,100.00,611,-0.14,100.00,714,0.39,100.00,2000,1,1,0,1,1,,,,,12.48,
56.45,759,-0.37,100.00,951,0.42,100.00,616,-0.36,100.00,1077,0.43,100.00,610,-0.22,100.00,716,0.28,100.00,2000,1,1,0,1,6,,,,,12.41,
61.45,759,-0.44,100.00,956,0.35,100.00,616,-0.41,100.00,1077,0.37,100.00,608,-0.29,100.00,717,0.23,100.00,2000,1,1,0,1,11,,,,,12.39,
66.45,760,-0.47,100.00,958,0.29,100.00,615,-0.47,100.00,1076,0.34,100.00,606,-0.36,100.00,716,0.17,100.00,2000,1,1,0,1,16,,,,,12.24,
71.45,760,-0.52,100.00,959,0.25,100.00,615,-0.53,100.00,1073,0.29,100.00,606,-0.40,100.00,717,0.12,100.00,2000,1,1,0,1,21,,,,,12.23,
76.45,761,-0.57,100.00,962,0.21,100.00,614,-0.64,100.00,1071,0.24,100.00,606,-0.45,100.00,717,0.08,100.00,2000,1,1,0,1,26,,,,,12.50,
81.45,762,-0.61,100.00,970,0.19,100.00,614,-0.66,100.00,1071,0.23,100.00,607,-0.48,100.00,717,0.03,100.00,2000,1,1,0,1,31,,,,,12.35,
86.45,763,-0.65,100.00,972,0.14,100.00,614,-0.70,100.00,1068,0.19,100.00,606,-0.54,100.00,717,0.01,100.00,2000,1,1,0,1,36,,,,,12.21,
91.45,765,-0.69,100.00,977,0.13,100.00,613,-0.73,100.00,1068,0.19,100.00,605,-0.57,100.00,717,-0.02,100.00,2000,1,1,0,1,41,,,,,12.32,
96.45,766,-0.70,100.00,979,0.11,100.00,613,-0.77,100.00,1066,0.18,100.00,606,-0.60,100.00,718,-0.05,100.00,2000,1,1,0,1,46,,,,,12.53,
101.45,771,-0.72,100.00,979,0.09,100.00,614,-0.77,100.00,1065,0.15,100.00,605,-0.61,100.00,718,-0.04,100.00,2000,1,1,0,1,51,,,,,12.54,
106.45,775,-0.74,100.00,979,0.08,100.00,614,-0.81,100.00,1061,0.13,100.00,604,-0.64,100.00,718,-0.08,100.00,2000,1,1,0,1,56,,,,,12.22,
111.45,777,-0.76,100.00,979,0.05,100.00,614,-0.83,100.00,1061,0.12,100.00,602,-0.67,100.00,717,-0.09,100.00,2000,1,1,0,2,1,,,,,12.13,
116.45,777,-0.81,100.00,980,0.04,100.00,614,-0.84,100.00,1060,0.13,100.00,600,-0.68,100.00,718,-0.08,100.00,2000,1,1,0,2,6,,,,,12.52,
121.45,777,-0.80,100.00,981,0.04,100.00,613,-0.86,100.00,1060,0.12,100.00,600,-0.69,100.00,718,-0.13,100.00,2000,1,1,0,2,11,,,,,12.19,
126.45,777,-0.80,100.00,981,0.03,100.00,613,-0.87,100.00,1060,0.09,100.00,600,-0.72,100.00,718,-0.11,100.00,2000,1,1,0,2,16,,,,,12.33,
131.45,779,-0.79,100.00,981,0.03,100.00,613,-0.87,100.00,1059,0.11,100.00,599,-0.71,100.00,718,-0.12,100.00,2000,1,1,0,2,21,,,,,12.11,
